aluminium,ammonia,arsenic,barium,,chloramine,chromium,copper,flouride,bacteria,viruses,,,,mercury,,radium,,silver,uranium,outcome
0.02,22.92,0.96,2.56,,0.96,0.02,1.77,0.62,0.14,6,,,,4,,7.6,,0.45,0.05,0
0.04,13.08,0.43,2.66,,5,0.33,0.73,0.68,0.45,6,,,,8,,6.6,,0.06,0.04,0
0.23,11.02,0.85,0.93,,4.68,0.85,1.1,1.48,0.75,0.75,,,,7,,1.2,,0.27,0.02,0
0.02,09.09,0.84,1.29,,6.35,0.61,0.77,0.76,0.51,0.51,,,,0,,6.36,,0.17,0.08,0
0.03,29.58,0.18,3.65,,4.74,0.72,0.14,1.42,1,1,,,,6,,4.96,,0.16,0.05,0
0.08,17.92,0.85,0.78,,5.37,0.84,0.62,0.97,0.23,6,,,,3,,5.77,,0.03,0.07,0
0.07,19.96,0.67,3.62,,02.02,0.81,0.36,0.73,0.47,0,,,,5,,4.48,,0.38,0.02,0
0.08,11.82,0.3,3.65,,7.5,0.46,1.43,1.49,0.58,0.58,,,,0,,6.74,,0.42,0,0
0.04,26.67,0.76,0.41,,7.86,0.15,1.65,0.08,0.51,0.51,,,,2,,4.41,,0.34,0.06,0
0.06,6.44,1,1.87,,3.25,0.11,0.05,1.21,0.33,1,,,,1,,6.28,,0.47,0.01,0
0.03,9.51,0.69,2.19,,3.29,0.69,0.16,0.87,0.67,0.67,,,,3,,7.28,,0.12,0.01,0
0.28,12.16,0.92,4.29,,3.68,0.47,0.13,1.29,0.82,0.82,,,,6,,1.45,,0.31,0.04,0
0.07,0.17,0.95,0.51,,6.85,0.09,1.72,0.89,0.09,5,,,,1,,5.26,,0.1,0.08,0
0.08,14.71,0.1,04.03,,8.52,0.25,0.65,0.73,0.53,0.53,,,,7,,2.2,,0.05,0.05,0
0.10,16.5,0.21,3.15,,3.44,0.42,1.67,1.21,0.65,0.65,,,,5,,0.25,,0.12,0.05,0
0.02,10.15,0.61,1.83,,3.19,0.52,1.89,1.18,0.75,0.75,,,,2,,3.4,,0.29,0.07,0
0.21,1.97,0.59,3.15,,1.88,0.32,0.94,0.26,0.28,9,,,,3,,4.23,,0.03,0.04,0
0.05,18.97,0.24,02.06,,4.55,0.84,0.85,01.01,0.19,8,,,,5,,4.14,,0.02,0.01,1
0.09,19.07,0.81,1.75,,6.68,0.7,0.29,0.5,0.7,0.7,,,,1,,03.09,,0.38,0.02,0
0.07,9.1,0.21,1.94,,0.68,0.3,1.7,0.29,0.78,0.78,,,,6,,2.58,,0.4,0.04,0
0.01,05.09,0.84,3.2,,5.24,0.33,0.72,0.42,0.75,0.75,,,,5,,3.49,,0.38,0.03,0
0.14,16.25,0.95,3.27,,5.63,0.29,1.5,0.25,0.02,0,,,,9,,1.39,,0.11,0,0
0.04,1.91,0.2,2.38,,0.42,0.24,1.52,0.76,0.57,0.57,,,,2,,03.04,,0.2,0.08,0
0.09,5.33,0.3,2.62,,4.24,0.7,1.51,0.89,0.55,0.55,,,,1,,0.25,,0.01,0.09,0
0.13,22.19,0.08,2.26,,2.72,0.46,0.24,0.66,0.09,8,,,,6,,0.68,,0.09,0.02,1
0.02,29.62,0.34,2.1,,3.81,0.47,1.16,01.06,0.82,0.82,,,,1,,7.9,,0.5,0.04,0
0.00,25.1,0.78,1.59,,2.9,0.04,0.87,0.16,0.41,3,,,,8,,5.99,,0.4,0.05,0
0.06,19.63,0.13,1.72,,2.41,0.16,0.02,0.04,0.76,0.76,,,,6,,4.8,,0.41,0.02,0
0.11,23.08,0.76,3.69,,5.35,0.63,1.94,1.27,0.08,8,,,,5,,4.8,,0.22,0.07,0
0.03,23.48,0.6,1.12,,4.66,0.82,1.57,0.43,0.04,3,,,,5,,5.11,,0.2,0.03,0
0.39,23.27,0.07,2.63,,7.26,0.47,1.95,1.38,0.46,3,,,,9,,2.4,,0.35,0.02,0
0.02,17.74,0.09,4.89,,2.79,0.03,1.4,0.5,0.28,5,,,,1,,7.9,,0.28,0.03,0
0.01,10.26,0.02,3.51,,0.53,0.39,0.55,1.27,0.61,0.61,,,,9,,2.53,,0.37,0.05,0
0.18,1.26,0.33,4.15,,3.56,0.03,1.39,1.12,0.1,1,,,,9,,4.39,,0.11,0.07,0
0.12,25.94,0.76,2.32,,0.03,0.34,0.37,1.29,0.62,0.62,,,,7,,2.73,,0.03,0.08,0
0.03,21.48,0.11,3.76,,5.69,0.08,0.35,1.43,0.71,0.71,,,,4,,2.9,,0.46,0.03,0
0.02,1.26,0.71,3.63,,5.87,0.45,1.45,0.52,0.18,3,,,,7,,6.59,,0.34,0.01,0
0.12,13.49,0.14,3.75,,01.01,0.2,01.06,0.53,0.96,0.96,,,,2,,3.42,,0.15,0.03,0
0.17,19.39,0.19,1.71,,1.87,0.45,0.5,0.74,0.5,0.5,,,,8,,3.22,,0.32,0.04,0
0.09,27.37,0.23,2.51,,2.77,0.8,0.27,0.93,0.5,0.5,,,,2,,4.16,,0.11,0.02,0
0.27,9.69,0.2,2.28,,0.94,0.34,0.01,0.01,0.5,0.5,,,,7,,1.23,,0.01,0.02,1
0.10,17.03,0.96,2.96,,7.94,0.4,1.24,0.92,0.42,6,,,,4,,5.9,,0.21,0.01,0
0.05,11.56,0.49,1.79,,3.59,0.8,1.54,0.32,0.33,6,,,,9,,7.25,,0.28,0.08,0
0.03,10.92,0.71,4.13,,04.02,0.14,01.04,1.39,0.07,6,,,,8,,6.42,,0.43,0.05,0
0.04,5.56,0.69,01.06,,3.93,0.15,0.33,1.33,0.59,0.59,,,,8,,4.39,,0.39,0.01,0
0.07,3.98,0.56,1.54,,1.87,0.27,0.6,0.07,0.79,0.79,,,,0.01,,3.44,,0.44,0.04,0
0.01,15.95,0.9,0.63,,05.09,0.19,1.64,0.61,1,1,,,,6,,4.33,,0.28,0.08,0
0.09,14.86,0.53,0.87,,6.22,0,0.81,0.24,0.15,5,,,,2,,1.67,,0,0.03,1
0.26,27.42,0.13,3.84,,1.2,0.13,1.69,0.98,0.28,4,,,,8,,2.65,,0.4,0.01,0
0.29,29.17,0.81,1.34,,0.63,0.77,1.51,0.36,0.78,0.78,,,,8,,6.2,,0.12,0.07,0
0.08,1.24,0.87,2.42,,04.09,0.8,1.99,0.48,0.33,1,,,,0,,6.66,,0.16,0,0
0.01,9.24,0.29,2.14,,7.61,0.19,1.22,01.06,0.27,8,,,,7,,4.35,,0.41,0.07,0
0.00,14.38,0.86,1.33,,1.25,0.23,1.3,0.37,0.98,0.98,,,,8,,3.24,,0.44,0,0
0.08,5.38,0.29,4.24,,5.24,0.15,1.38,1.39,0.87,0.87,,,,1,,7.35,,0.44,0.08,0
0.04,23.14,0.21,3.39,,0.87,0.26,0.5,0.85,0.44,4,,,,7,,3.23,,0.03,0.02,0
0.29,26.02,0.5,04.04,,5.53,0.3,0.78,0.09,0.83,0.83,,,,9,,4.63,,0.18,0.05,0
0.03,20.55,0.4,2.92,,2.57,0.19,0.17,0.59,0.07,8,,,,8,,6.49,,0.31,0.09,0
0.02,18.31,01.03,3,,1.89,0.68,1.45,1.4,0.28,3,,,,2,,1.31,,0.18,0.04,0
0.10,16.67,0.32,2.53,,0.1,0.03,0.04,1.16,0.51,0.51,,,,6,,3.72,,0.14,0.08,0
0.37,12.36,01.02,2.49,,6.62,0.8,1.8,1.46,0.31,4,,,,6,,3.95,,0.44,0.07,0
0.07,23.31,0.58,1.91,,6.84,0.43,1.83,01.03,0.48,9,,,,2,,01.08,,0.27,0.02,0
0.27,19.19,0.97,01.01,,4.83,0.35,1.37,0.65,0.09,6,,,,8,,6.75,,0.42,0.02,0
0.18,27.98,0.61,4.12,,5.23,0.38,0.52,0.22,0.69,0.69,,,,4,,6.63,,0.14,0.07,0
0.04,14.34,0.07,2.69,,3.76,0.59,1.45,0.28,0.52,0.52,,,,6,,4.47,,0.02,0.08,0
0.10,4.53,0.07,2.16,,4.23,0.49,0.75,0.44,0.68,0.68,,,,2,,7.42,,0.3,0.04,0
0.12,3.9,0.58,0.78,,1.16,0.33,0.07,0.7,0.01,0,,,,6,,7.85,,0.13,0.08,0
0.17,1.93,0.09,3.45,,4.97,0.28,1.66,0.79,0.73,0.73,,,,6,,04.05,,0.24,0.05,0
0.04,8.66,0.08,2.24,,4.58,0.76,1.96,0.82,0.11,5,,,,0,,0.77,,0.33,0.01,0
0.09,17.56,0.52,01.03,,8.2,0.03,0.57,1.44,0.44,3,,,,9,,2.68,,0.3,0.07,0
0.07,5.7,0.55,2.42,,6.6,0.07,0.65,1.5,0.79,0.79,,,,2,,2.35,,0.31,0.06,0
0.06,19.35,0.61,3.33,,0.11,0.19,0.36,1.39,0.8,0.8,,,,1,,7.85,,0.05,0.08,0
0.00,18.07,0.91,3.69,,3.27,0.26,01.07,1.44,0.07,5,,,,6,,1.55,,0.04,0.08,0
0.09,21.66,0.43,3.23,,0.93,0.59,0.08,1.19,0.7,0.7,,,,0,,6.7,,0.42,0.02,0
0.08,15.91,0.61,3.16,,08.08,0.13,1.64,0.78,0.61,0.61,,,,9,,03.07,,0.11,0.03,0
0.03,1.56,0.08,2.86,,4.37,0.37,1.39,1.19,0.39,1,,,,9,,7.6,,0.48,0.02,0
0.30,6.37,0.25,0.89,,3.7,0.21,0.5,1.34,0.22,3,,,,1,,6.6,,0.42,0.07,0
0.07,1.76,0.99,2.15,,3.18,0.79,0.55,0.96,0.21,4,,,,3,,1.55,,0.15,0.04,0
0.07,25.49,0.05,3.33,,1.62,0.86,0.66,1,0.67,0.67,,,,4,,1.27,,0.4,0,0
0.04,08.03,0.81,3.85,,2.56,0.05,0.06,0.74,0.05,3,,,,3,,7.35,,0.36,0,0
0.06,26.54,0.73,01.02,,1.96,0.77,0.05,1.43,0.92,0.92,,,,7,,02.01,,0.23,0.01,0
0.03,20.28,0.24,3.68,,2.28,0.41,0.79,0.59,0.49,7,,,,2,,6.25,,0.35,0.09,0
0.20,9.82,0.37,02.03,,3.26,0.66,1.26,1.33,0.34,6,,,,0,,1.18,,0.42,0.01,0
0.34,28.14,0.62,0.93,,08.03,0.32,0.21,01.04,1,1,,,,9,,01.04,,0.04,0.03,0
0.04,20.09,01.02,3.73,,5.41,0.86,1.94,0.8,0.32,4,,,,0.01,,1.51,,0.27,0.04,0
0.04,10.06,0.57,3.63,,0.45,0.84,0.71,1.43,0.58,0.58,,,,9,,7.67,,0.23,0.01,0
0.06,02.05,0.93,2.64,,6.9,0.03,1.33,1,0.18,5,,,,6,,3.36,,0.27,0.06,0
0.21,28.49,0.27,2.72,,5.49,0.33,0.89,1.41,0.74,0.74,,,,9,,07.08,,0.14,0.01,0
0.05,21.58,01.02,04.02,,0.71,0.72,0.55,0.19,0.72,0.72,,,,4,,6.83,,0.25,0.03,0
0.10,8.61,0.75,3.69,,3.99,0.49,1.53,01.04,0.08,1,,,,7,,5.56,,0.03,0.08,0
0.13,19.5,0.3,2.77,,5.67,0.05,01.04,1.19,0.18,1,,,,8,,7.94,,0.36,0,0
0.07,8.52,0.44,0.74,,5.95,0.22,01.09,0.4,0.02,2,,,,8,,6.5,,0.15,0.04,0
0.03,2.24,0.98,3.3,,5.18,0.55,0.88,1.45,0.58,0.58,,,,7,,5.78,,0.26,0.01,0
0.18,22.11,0.42,2.93,,0.48,0.21,1.32,1.23,0.56,0.56,,,,7,,0.51,,0.2,0,0
0.04,18.83,0.92,2.85,,0.98,0.18,0.46,1.43,0.43,3,,,,5,,02.01,,0.25,0.06,0
0.03,18.97,0.74,1.53,,4.7,0.65,0.73,0.82,0.7,0.7,,,,7,,2.87,,0.01,0.04,0
0.03,17.94,0.18,0.94,,1.68,0.86,1.44,1.42,0.31,7,,,,2,,4.95,,0.07,0.06,0
0.14,23.41,0.27,1.11,,0.84,0.63,1.33,1.37,0.09,8,,,,1,,1.83,,0.03,0.02,1
0.02,23.97,0.38,3.63,,4.69,0.09,0.37,0.49,0.14,7,,,,0.01,,4.85,,0.18,0.02,0
0.19,15.51,01.01,2.39,,2.85,0.34,0.98,0.23,0.93,0.93,,,,7,,3.73,,0.28,0.05,0
0.07,12.38,0.37,3.29,,7.6,0.79,0.71,1.26,0.75,0.75,,,,6,,6.9,,0.39,0.07,0
0.09,23.66,0.07,1.56,,3.48,0.51,1.38,1.26,0.48,7,,,,0.01,,0.53,,0.09,0.06,0
0.01,13.24,0.52,2.43,,1.24,0.04,1.11,1.19,0.72,0.72,,,,1,,3.52,,0.42,0.02,0
0.09,22.26,0.7,3.92,,6.13,0.71,0.53,0.95,0.19,4,,,,6,,3.57,,0.01,0.05,0
0.04,11.54,0.79,2.93,,6.86,0.09,1.18,0.88,0.28,1,,,,3,,7.46,,0.03,0.07,0
0.04,25.8,0.61,2.73,,1.86,0.11,1.96,1.32,0.85,0.85,,,,2,,2.96,,0.32,0.09,0
0.03,21.2,0.19,0.95,,2.95,0.67,1.36,0.66,0.76,0.76,,,,6,,4.17,,0.17,0.04,0
0.08,25.03,0.07,1.67,,3.73,0.7,1.89,0.7,0.77,0.77,,,,4,,4.23,,0.47,0.05,0
0.13,12.22,0.58,4.18,,4,0.07,1.89,0.17,0.66,0.66,,,,9,,3.75,,0.32,0.02,0
0.10,14.2,0.12,2.64,,8.47,0.28,1.86,0.45,0.36,3,,,,3,,7.29,,0.02,0.01,0
0.12,24.97,0.84,04.02,,01.07,0.79,0.72,0.87,0.17,1,,,,4,,0.4,,0.31,0.04,0
0.03,28.72,0.6,1.42,,6.78,0.41,0.13,0.82,0.48,8,,,,0,,2.48,,0.1,0.02,1
0.09,25.14,0.52,1.17,,5.73,0.21,0.03,1.27,0.82,0.82,,,,9,,4.72,,0.2,0.07,0
0.06,4.2,0.5,3.31,,5.96,0.47,1.53,1.25,0.6,0.6,,,,2,,6.79,,0.12,0.04,0
0.06,28.14,0.16,4.1,,2.75,0.65,0.25,1.16,0.98,0.98,,,,7,,6.19,,0.17,0.07,0
0.01,24.76,0.38,1.32,,6.2,0.85,01.09,0.97,0.49,3,,,,6,,5.19,,0.08,0.08,0
0.05,0.28,0.81,04.06,,08.03,0.27,1.74,0.36,0.21,7,,,,2,,2.3,,0.22,0.06,0
0.09,8.11,0.72,3.58,,4.41,0.33,1.94,0.78,0.89,0.89,,,,8,,7.62,,0.33,0.04,0
0.07,0.18,0.76,1.98,,06.06,0.86,1.96,0.84,0.37,6,,,,0.01,,5.48,,0.15,0.01,0
0.06,23.64,0.25,3.56,,6.16,0.87,1.41,0.37,0.79,0.79,,,,7,,1.89,,0.13,0.08,0
0.17,29.7,0.8,2.53,,7.51,0.77,1.32,1.3,0.73,0.73,,,,1,,4.87,,0.49,0.03,0
0.06,14,0.83,3.27,,4.43,0.36,1.6,0.15,0.91,0.91,,,,6,,2.96,,0.33,0,0
0.03,27.44,0.96,1.4,,7.51,0.38,1.24,0.14,0.51,0.51,,,,0,,1.74,,0.15,0.01,0
0.05,9.62,0.24,4.29,,5.33,0.06,1.17,0.9,0.51,0.51,,,,0.01,,4.23,,0.03,0.01,0
0.11,2.87,0.34,02.06,,7.43,0.23,1.44,0.17,0.99,0.99,,,,8,,4.17,,0.18,0.03,0
0.16,6.82,0.64,1.51,,7.52,0.47,0.33,0.82,0.29,4,,,,4,,0.45,,0.3,0.05,0
0.04,0.88,0.48,1.72,,4.58,0.24,1.66,0.64,0.1,2,,,,7,,3.65,,0.37,0.02,0
0.18,8.14,0.33,2.25,,2.28,0.08,1.89,0.65,0.39,8,,,,1,,5.78,,0.04,0.07,0
0.01,15.08,0.63,03.03,,0.06,0.54,0.59,0.54,0.31,1,,,,2,,07.03,,0.08,0,0
0.06,8.61,0.08,2.49,,7.53,0.43,0.7,0.8,0.97,0.97,,,,1,,5.96,,0.08,0,0
0.03,16.55,0.42,2.65,,1.86,0.04,1.75,0.76,0.26,3,,,,0.01,,2.66,,0.27,0.04,0
0.19,17.72,0.72,2.95,,07.06,0.03,0.11,0.21,0.61,0.61,,,,0.01,,6.56,,0.06,0.05,0
0.10,22.33,0.72,1.85,,6.54,0.86,1.72,0.81,0.87,0.87,,,,4,,7.27,,0.24,0.05,0
0.01,2.7,0.39,2.25,,4.72,0.72,0.06,0.04,0.08,5,,,,1,,2.41,,0.04,0.04,0
0.32,1.4,0.96,04.02,,3.78,0.79,1.37,0.62,0.92,0.92,,,,7,,4.38,,0.29,0.05,0
0.06,22.03,0.78,2.31,,5.26,0.68,0.34,0.12,0.74,0.74,,,,2,,2.38,,0.19,0.04,0
0.06,7.24,0.84,1.13,,4.69,0.23,0.77,0.68,0.05,8,,,,4,,0.34,,0.34,0,0
0.03,13.62,0.04,1.31,,6.89,0.17,0.57,1.33,1,1,,,,4,,5.45,,0.48,0.08,0
0.02,2.1,0.49,03.02,,6.75,0.32,1.46,0.94,0.26,2,,,,5,,5.92,,0.11,0,0
0.05,5.33,0.95,3.77,,0.96,0.52,1.84,1.48,0.13,5,,,,2,,6.88,,0.47,0.08,0
0.07,10.01,0.63,1.43,,7.15,0.4,0.68,0.79,0.23,2,,,,9,,7.92,,0.33,0.02,0
0.07,27.55,0.71,3.12,,4.78,0.41,0.78,0.33,0.5,0.5,,,,2,,3.48,,0.42,0.02,0
0.10,25.48,0.04,3.67,,01.02,0.3,1.39,1.3,0.49,8,,,,9,,7.21,,0.22,0.08,0
0.32,20.18,0.53,3.92,,5.53,0.88,1.89,01.05,0.83,0.83,,,,1,,0.9,,0.04,0.07,0
0.05,21.03,0.14,3.88,,1.18,0.52,0.06,0.14,0.66,0.66,,,,6,,6.84,,0.46,0.05,0
0.22,10.37,0.02,4.53,,3.34,0.06,1.72,01.06,0.63,0.63,,,,5,,1.5,,0.07,0.02,1
0.01,11.74,0.07,3.28,,07.02,0.14,1.99,1.44,0.15,3,,,,0.01,,2.12,,0.49,0.04,0
0.07,9.8,0.32,2.32,,3.52,0.69,0.32,0.66,0.3,6,,,,2,,0.66,,0.05,0.03,1
0.08,18.38,0.73,03.09,,5.63,0.73,0.8,1.28,0.93,0.93,,,,3,,5.85,,0.49,0.09,0
0.06,6.44,0.36,2.5,,4.15,0.12,1.22,1.49,0.99,0.99,,,,2,,7.15,,0.44,0.03,0
0.06,24.5,0.44,3.79,,03.01,0.02,1.17,01.09,0.46,8,,,,4,,1.22,,0.03,0.08,0
0.10,5.69,0.25,1.42,,2.21,0.74,1.74,0.97,0.24,4,,,,6,,5.19,,0.44,0.08,0
0.36,0.55,0.61,0.78,,02.02,0.56,1.59,0.13,0.17,0,,,,0.01,,1.45,,0.12,0.02,0
0.06,9.74,0.95,1.55,,7.25,0.87,0.6,0.03,0.1,1,,,,1,,0.99,,0.07,0.05,0
0.05,22.25,0.64,1.54,,4.19,0.42,0.38,1.11,0.93,0.93,,,,2,,4.4,,0.45,0.05,0
0.10,25.36,0.61,1.82,,6.12,0.73,1.76,0.63,0.91,0.91,,,,7,,5.87,,0.01,0.06,0
0.04,12.02,0.9,1.9,,7.28,0.63,0.29,1.43,0.75,0.75,,,,6,,6.81,,0.49,0.07,0
0.08,12.56,0.62,0.68,,8.1,0.76,0.7,0.52,0.59,0.59,,,,4,,0.51,,0.35,0.07,0
0.04,27.35,0.5,1.59,,7.25,0.52,1.69,0.96,0.25,1,,,,5,,2.36,,0.43,0.01,0
0.07,7.79,0.87,2.76,,6.74,0.06,0.67,0.63,0.48,3,,,,2,,6.35,,0.17,0.07,0
0.14,7.77,0.72,0.88,,6.77,0.28,0.36,0.45,0.79,0.79,,,,8,,1.1,,0.33,0.06,0
0.18,22.59,0.72,04.09,,1.82,0.33,1.68,0.48,0.62,0.62,,,,4,,1.38,,0.28,0.02,0
0.08,7.86,0.31,1.35,,3.58,0.1,1.32,0.87,0.61,0.61,,,,9,,2.6,,0.05,0.09,0
0.03,9.53,0.86,02.09,,7.4,0.15,01.04,0.58,0.5,0.5,,,,5,,4.25,,0.24,0.01,0
0.17,25.41,0.48,0.53,,06.07,0.68,0.07,0.13,0.44,8,,,,3,,5.43,,0.1,0.04,0
0.05,3.88,0.7,3.33,,6.63,0.08,0.85,1.16,0.36,5,,,,0.01,,6.47,,0.48,0.01,0
0.05,25.43,0.29,01.09,,07.02,0.61,1.67,1.19,0.86,0.86,,,,9,,3.12,,0.05,0.03,0
0.26,28.75,0.36,1.87,,1.38,0.65,0.72,0.57,0.37,7,,,,3,,2.14,,0.49,0.09,0
0.11,22.64,0.19,0.02,,7.88,0.06,0.28,0.28,0.19,0,,,,9,,6.93,,0.26,0.02,0
0.27,2,0.29,3.19,,3.61,0.4,1.71,1.4,0.95,0.95,,,,7,,06.07,,0.19,0.08,0
0.04,3.1,0.91,1.49,,7.36,0.01,0.7,1.43,0.35,4,,,,2,,5.26,,0.47,0.03,0
0.05,12.12,0.47,02.02,,2.28,0.55,0.56,1.29,0.64,0.64,,,,8,,0.3,,0.01,0.09,0
0.19,10.27,0.73,2.47,,6.97,0.8,01.07,1.35,0.39,3,,,,3,,5.82,,0.36,0.04,0
0.01,1.99,0.09,4.81,,1.59,0.18,0.66,0.88,0.68,0.68,,,,2,,5.33,,0.38,0.05,0
0.19,26.05,0.18,2.7,,1.12,0.4,1.17,1.31,0.57,0.57,,,,7,,2.38,,0.22,0.02,0
0.29,28.32,0.67,3.74,,0.63,0.32,0.29,0.67,0.65,0.65,,,,0.01,,5.15,,0.32,0.07,0
0.06,4.59,0.15,0.66,,1.88,0.69,1.49,0.75,0.66,0.66,,,,7,,6.53,,0.07,0.09,0
0.02,4.72,0.68,0.55,,4.63,0.04,0.29,1.28,0.96,0.96,,,,3,,7.74,,0.4,0.07,0
0.06,2.48,0.72,1.26,,5.87,0.68,1.25,0.29,0.78,0.78,,,,6,,03.04,,0.32,0.06,0
0.19,23.09,0.65,1.31,,4.11,0.16,1.34,0.36,0.84,0.84,,,,7,,4.78,,0.09,0.05,0
0.18,1.43,0.18,02.04,,04.02,0.41,0.85,0.82,0.9,0.9,,,,9,,4.47,,0.19,0,0
0.06,13.71,0.93,1.42,,5.11,0.47,1.21,01.09,0.77,0.77,,,,4,,0.89,,0.04,0.08,0
0.10,15.57,0.32,2.98,,0.86,0.39,0.76,0.24,0.28,7,,,,1,,3.75,,0.02,0.06,0
0.10,26.31,0.14,0.43,,7.57,0.33,1.34,1.43,0.37,7,,,,5,,2.52,,0.23,0.03,0
0.04,7.97,01.01,1.75,,01.09,0.85,0.39,1.47,0.58,0.58,,,,2,,0.59,,0.33,0.04,0
0.05,18.54,0.52,1.67,,2.18,0.76,1.72,01.07,0.96,0.96,,,,5,,2.18,,0.15,0.02,0
0.07,7.13,0.73,2.18,,3.8,0.26,1.86,0.42,0.15,3,,,,5,,6.36,,0.27,0.06,0
0.02,2.49,0.26,3.99,,1.83,0.58,1.35,01.06,0.22,7,,,,5,,2.78,,0.16,0.03,0
0.18,25.83,0.76,4.11,,5.68,0.2,1.58,0.15,0.72,0.72,,,,8,,3.22,,0.07,0.09,0
0.03,18.72,0.76,1.66,,3.44,0.3,01.09,1.35,0.38,6,,,,0.01,,6.33,,0.06,0.07,0
0.04,12.15,0.13,2.11,,3,0.04,0.4,1.16,0.87,0.87,,,,8,,7.15,,0.18,0.08,0
0.01,24.13,0.15,3.38,,2.16,0.78,1.18,0.07,0.77,0.77,,,,9,,01.07,,0.16,0.06,0
0.01,1.62,0.6,3.25,,0.62,0.25,0.31,1.29,0.56,0.56,,,,2,,0.98,,0.21,0.08,0
0.01,11.08,0.54,0.98,,1.93,0.61,0.84,0.55,0.78,0.78,,,,3,,2.44,,0.04,0.07,0
0.09,6.34,0.12,3.59,,6.8,0.18,0.33,0.22,0.31,8,,,,7,,3.14,,0.38,0.06,0
0.05,9.59,0.07,4.6,,6.95,0.12,1.44,0.63,0.23,4,,,,3,,7.28,,0.24,0.02,0
0.24,5.42,0.23,1.93,,3.57,0.19,0.66,0.59,0.65,0.65,,,,8,,6.36,,0.4,0.04,0
0.03,0.95,0.86,3.28,,1.95,0.04,0.14,0.77,0.24,3,,,,5,,0.99,,0.49,0.08,0
0.09,10.81,0.69,2.67,,5.97,0.02,1.15,0.53,0.66,0.66,,,,1,,5.66,,0.17,0.02,0
0.18,5.26,0.93,3.49,,4.45,0.28,1.96,0.5,0.5,0.5,,,,4,,7.77,,0.12,0.06,0
0.07,9.56,0.98,2.36,,08.08,0.03,0.34,1.4,0.56,0.56,,,,9,,6.53,,0.05,0.03,0
0.13,5,0.4,2.73,,7.45,0.05,0.15,1.19,0.61,0.61,,,,1,,0.53,,0.06,0.01,1
0.20,3.72,0.14,1.46,,0.97,0.1,1.6,0.83,0.68,0.68,,,,9,,7.22,,0.49,0.05,0
0.02,11.01,0.37,2.42,,6.45,0.45,0.22,0.79,0.59,0.59,,,,1,,6.14,,0.4,0.05,0
0.07,26.86,0.62,3.99,,6.52,0.12,1.41,0.92,0.93,0.93,,,,5,,5.24,,0.15,0.07,0
0.03,0.37,0.61,2.27,,03.02,0.18,0.7,0.57,0.3,5,,,,8,,5.93,,0.47,0.03,0
0.04,2.4,0.84,3.54,,3.46,0.86,1.79,0.59,0.25,8,,,,6,,4.23,,0.39,0.04,0
0.04,8.3,0.07,2.89,,4.96,0.2,0.37,0.36,0.41,2,,,,3,,0.6,,0.31,0.06,0
0.03,28.75,0.78,3.48,,5.3,0.22,0.51,0.07,0.12,6,,,,1,,3.74,,0.27,0.01,0
0.07,2.97,0.2,3.43,,3.62,0.13,1.22,0.46,0.37,4,,,,5,,5.64,,0.15,0.08,0
0.29,28.61,0.63,1.16,,3.5,0.78,1.59,01.01,0.3,8,,,,4,,4.96,,0.27,0.08,0
0.09,19.54,0.7,4,,6.69,0.6,0.79,0.32,0.64,0.64,,,,1,,7.8,,0.16,0.05,0
0.06,10.17,0.47,3.53,,07.03,0.67,0.36,1.31,0.64,0.64,,,,6,,7.73,,0.27,0.01,0
0.17,14.34,0.53,0.21,,7.68,0.71,0.67,0.73,0.92,0.92,,,,9,,7.19,,0.2,0,0
0.06,24,0.53,3.78,,4.51,0.56,0.92,01.09,0.75,0.75,,,,9,,1.78,,0.42,0.01,0
0.06,23.59,0.34,4.23,,2.74,0.4,0.76,0.62,0.65,0.65,,,,5,,5.22,,0.48,0.02,0
0.07,24.34,0.77,1.79,,2.75,0.88,0.13,0.06,0.58,0.58,,,,7,,1.63,,0.01,0.06,0
0.10,28.08,0.56,0.74,,2.2,0.65,0.62,0.44,0.31,2,,,,4,,2.12,,0.37,0.02,0
0.14,18.13,0.07,1.72,,8.17,0.83,1.33,01.07,0.35,4,,,,9,,3.51,,0.25,0.09,0
0.01,7.1,0.17,4.34,,4.81,0.38,0.86,1.3,0.89,0.89,,,,4,,7.67,,0.5,0.06,0
0.10,16.73,0.86,04.09,,4.9,0.41,0.66,0.4,0.25,3,,,,0.01,,2.73,,0.45,0.04,0
0.24,8.71,0.51,2.93,,2.39,0.76,1.89,0.95,0.36,3,,,,4,,0.91,,0.11,0.06,0
0.08,11.75,0.46,2.14,,5.74,0.77,01.02,1.34,0.62,0.62,,,,6,,4.53,,0.29,0.06,0
0.07,4.64,0.16,4.17,,0.22,0.65,1.47,0.21,0.33,5,,,,1,,0.06,,0.04,0.05,0
0.01,21.3,0.12,1.15,,6.52,0.82,1.97,0.85,0.56,0.56,,,,3,,6.2,,0.21,0.03,0
0.01,5.61,0.72,1.73,,4.28,0.01,0.85,0.24,0.49,1,,,,4,,0.18,,0.18,0.05,0
0.06,25.84,0.48,1.28,,02.06,0.54,0.53,0.05,0.32,2,,,,5,,4.62,,0.12,0.05,0
0.11,22.15,0.68,4.27,,6.55,0.54,0.81,1.25,0.15,2,,,,7,,2.19,,0.37,0.04,0
0.12,22.45,0.23,4.2,,3.7,0.17,0.79,0.34,0.21,1,,,,9,,4.78,,0.1,0.01,1
